Retailer,Retailer_ID,Invoice Date,Region,State,City,Product,Price_per,Quantity,Profit,Sales_Method
Foot Locker,1185732,01/22/2020,Northeast,California,Los Angeles,Men's Apparel,45,958,39226.47,Online
Foot Locker,1185732,01/23/2020,Northeast,California,Los Angeles,Women's Athletics,55,898,50207.81,Outlet
Foot Locker,1185732,01/24/2020,Northeast,Texas,Houston,Men's Street Footwear,40,1056,44964.12,Online
Foot Locker,1185732,01/25/2020,Northeast,New York,New York,Women's Athletics,60,831,46586.15,In-store
Foot Locker,1185732,01/26/2020,Northeast,California,Los Angeles,Men's Apparel,55,1092,57315.23,Outlet
Foot Locker,1185732,01/27/2020,Northeast,Illinois,Chicago,Men's Street Footwear,40,862,32310.01,Online
Foot Locker,1185732,01/28/2020,Northeast,California,Los Angeles,Women's Apparel,40,1094,45899.33,Outlet
Foot Locker,1185732,01/29/2020,Northeast,New York,New York,Men's Athletics,60,935,50671.87,In-store
Foot Locker,1185732,01/30/2020,Northeast,New York,New York,Women's Apparel,60,1080,67970.27,Online
Foot Locker,1185732,01/31/2020,Northeast,Texas,Houston,Men's Apparel,50,1119,61058.14,Online
Foot Locker,1185732,02/01/2020,Northeast,Texas,Houston,Women's Apparel,45,1067,45578.81,Online
Foot Locker,1185732,02/02/2020,Northeast,California,Los Angeles,Women's Athletics,45,1283,56886.51,In-store
Foot Locker,1185732,02/03/2020,Northeast,California,Los Angeles,Men's Apparel,45,836,38065.59,Online
Foot Locker,1185732,02/04/2020,Northeast,California,Los Angeles,Men's Apparel,55,1296,74287.02,In-store
Foot Locker,1185732,02/05/2020,Northeast,Texas,Houston,Men's Apparel,55,1093,56165.75,Outlet
Foot Locker,1185732,02/06/2020,Northeast,Texas,Houston,Men's Athletics,55,1022,51820.22,Outlet
Foot Locker,1185732,02/07/2020,Northeast,Texas,Houston,Women's Athletics,50,1198,60148.49,In-store
Foot Locker,1185732,02/08/2020,Northeast,California,Los Angeles,Women's Apparel,45,1030,44185.18,Online
Foot Locker,1185732,02/09/2020,Northeast,California,Los Angeles,Women's Apparel,50,1237,65100.28,In-store
Foot Locker,1185732,02/10/2020,Northeast,Texas,Houston,Women's Athletics,40,1154,45474.55,In-store
Foot Locker,1185732,02/11/2020,Northeast,California,Los Angeles,Women's Athletics,40,937,40590.22,Online
Foot Locker,1185732,02/12/2020,Northeast,Illinois,Chicago,Women's Athletics,60,1164,68083.01,Outlet
Foot Locker,1185732,02/13/2020,Northeast,Illinois,Chicago,Women's Street Footwear,40,1253,54540.43,Online
Foot Locker,1185732,02/14/2020,Northeast,Illinois,Chicago,Men's Apparel,40,1195,43872.37,Outlet
Foot Locker,1185732,02/15/2020,Northeast,Texas,Houston,Women's Street Footwear,60,1200,76558.45,In-store
Foot Locker,1185732,02/16/2020,Northeast,Texas,Houston,Women's Street Footwear,55,1050,58547.65,In-store
Foot Locker,1185732,02/17/2020,Northeast,Illinois,Chicago,Women's Apparel,55,1012,52616.67,In-store
Foot Locker,1185732,02/18/2020,Northeast,California,Los Angeles,Women's Athletics,60,1032,61858.63,Outlet
Foot Locker,1185732,02/19/2020,Northeast,California,Los Angeles,Men's Street Footwear,40,1051,44475.79,Outlet
Foot Locker,1185732,02/20/2020,Northeast,California,Los Angeles,Women's Athletics,55,1029,60941.26,Online
Foot Locker,1185732,02/21/2020,Northeast,Texas,Houston,Women's Athletics,50,1091,55150.57,Online
Foot Locker,1185732,02/22/2020,Northeast,Texas,Houston,Women's Street Footwear,55,1300,74702.81,Online
Foot Locker,1185732,02/23/2020,Northeast,Texas,Houston,Men's Street Footwear,40,877,32556.01,In-store
Foot Locker,1185732,02/24/2020,Northeast,Illinois,Chicago,Women's Athletics,40,833,33627.56,Outlet
Foot Locker,1185732,02/25/2020,Northeast,New York,New York,Women's Street Footwear,45,1212,49199.87,Online
Foot Locker,1185732,02/26/2020,Northeast,New York,New York,Men's Street Footwear,50,999,45234.59,In-store
Foot Locker,1185732,02/27/2020,Northeast,Illinois,Chicago,Women's Apparel,55,816,42941.02,Outlet
Foot Locker,1185732,02/28/2020,Northeast,New York,New York,Men's Athletics,40,1256,45536.97,Online
Foot Locker,1185732,02/29/2020,Northeast,Illinois,Chicago,Women's Street Footwear,45,947,42889.26,Outlet
Foot Locker,1185732,03/01/2020,Northeast,Texas,Houston,Women's Apparel,50,984,45683.08,In-store
Foot Locker,1185732,03/02/2020,Northeast,New York,New York,Women's Street Footwear,60,1236,78913.37,Outlet
Foot Locker,1185732,03/03/2020,Northeast,Illinois,Chicago,Women's Street Footwear,55,894,45734.09,Outlet
Foot Locker,1185732,03/04/2020,Northeast,California,Los Angeles,Women's Apparel,50,1287,60923.62,Outlet
Foot Locker,1185732,03/05/2020,Northeast,New York,New York,Men's Apparel,55,1111,59413.4,In-store
Foot Locker,1185732,03/06/2020,Northeast,Illinois,Chicago,Women's Apparel,40,923,37782.26,Outlet
Foot Locker,1185732,03/07/2020,Northeast,New York,New York,Men's Apparel,55,1187,70963.99,In-store
Foot Locker,1185732,03/08/2020,Northeast,Texas,Houston,Women's Athletics,40,1216,45491.11,Online
Foot Locker,1185732,03/09/2020,Northeast,California,Los Angeles,Women's Athletics,45,984,42219.72,Online
Foot Locker,1185732,03/10/2020,Northeast,New York,New York,Men's Street Footwear,40,1156,47357.67,In-store
Foot Locker,1185732,03/11/2020,Northeast,California,Los Angeles,Women's Apparel,60,1288,73129.87,Outlet
Foot Locker,1185732,03/12/2020,Northeast,New York,New York,Women's Athletics,60,1290,73390.54,Outlet
Foot Locker,1185732,03/13/2020,Northeast,California,Los Angeles,Men's Athletics,40,1108,45809.5,Online
Foot Locker,1185732,03/14/2020,Northeast,California,Los Angeles,Women's Street Footwear,40,1174,47046.31,In-store
Foot Locker,1185732,03/15/2020,Northeast,Texas,Houston,Women's Athletics,40,915,37014.26,Outlet
Foot Locker,1185732,03/16/2020,Northeast,California,Los Angeles,Women's Street Footwear,60,942,59608.64,Outlet
Foot Locker,1185732,03/17/2020,Northeast,New York,New York,Men's Street Footwear,55,1019,52353.16,In-store
Foot Locker,1185732,03/18/2020,Northeast,Texas,Houston,Men's Athletics,45,839,37355.4,Online
Foot Locker,1185732,03/19/2020,Northeast,Illinois,Chicago,Women's Athletics,55,872,48354.58,In-store
Foot Locker,1185732,03/20/2020,Northeast,New York,New York,Men's Street Footwear,60,1159,75288.06,Online
Foot Locker,1185732,03/21/2020,Northeast,Texas,Houston,Women's Athletics,50,970,48921.06,Online
Foot Locker,1185732,03/22/2020,Northeast,California,Los Angeles,Men's Apparel,50,954,47541.05,Outlet
Foot Locker,1185732,03/23/2020,Northeast,California,Los Angeles,Women's Athletics,45,1259,58937.38,In-store
Foot Locker,1185732,03/24/2020,Northeast,New York,New York,Women's Athletics,50,844,44088.22,Outlet
Foot Locker,1185732,03/25/2020,Northeast,New York,New York,Women's Athletics,50,1191,60626.18,Online
Foot Locker,1185732,03/26/2020,Northeast,New York,New York,Women's Athletics,60,1077,67467.66,Outlet
Foot Locker,1185732,03/27/2020,Northeast,Texas,Houston,Men's Street Footwear,45,920,40146.15,In-store
Foot Locker,1185732,03/28/2020,Northeast,Illinois,Chicago,Men's Street Footwear,45,1286,56567.31,Online
Foot Locker,1185732,03/29/2020,Northeast,New York,New York,Men's Apparel,55,801,41054.45,In-store
Foot Locker,1185732,03/30/2020,Northeast,Illinois,Chicago,Men's Apparel,50,1176,54317.44,In-store
Foot Locker,1185732,03/31/2020,Northeast,Texas,Houston,Women's Apparel,40,1221,45867.11,Online
Foot Locker,1185732,04/01/2020,Northeast,Texas,Houston,Men's Street Footwear,45,1279,62020.53,In-store
Foot Locker,1185732,04/02/2020,Northeast,Illinois,Chicago,Men's Athletics,60,1037,58755.25,In-store
Foot Locker,1185732,04/03/2020,Northeast,New York,New York,Women's Apparel,60,874,49252.59,In-store
Foot Locker,1185732,04/04/2020,Northeast,Texas,Houston,Men's Street Footwear,45,1248,58309.43,In-store
Foot Locker,1185732,04/05/2020,Northeast,New York,New York,Women's Street Footwear,55,1066,54013.61,Outlet
Foot Locker,1185732,04/06/2020,Northeast,Illinois,Chicago,Women's Street Footwear,40,1127,48403.74,Outlet
Foot Locker,1185732,04/07/2020,Northeast,New York,New York,Women's Athletics,45,949,46400.69,In-store
Foot Locker,1185732,04/08/2020,Northeast,California,Los Angeles,Men's Apparel,60,1027,61218.38,Outlet
Foot Locker,1185732,04/09/2020,Northeast,Illinois,Chicago,Women's Apparel,40,955,41993.79,In-store
Foot Locker,1185732,04/10/2020,Northeast,Texas,Houston,Women's Street Footwear,50,1179,61410.81,In-store
Foot Locker,1185732,04/11/2020,Northeast,Illinois,Chicago,Men's Athletics,55,907,45016.7,In-store
Foot Locker,1185732,04/12/2020,Northeast,Texas,Houston,Men's Street Footwear,60,1064,65821.12,Online
Foot Locker,1185732,04/13/2020,Northeast,New York,New York,Men's Apparel,55,1154,67621.44,In-store
Foot Locker,1185732,04/14/2020,Northeast,Illinois,Chicago,Women's Athletics,60,1003,57852.14,Online
Foot Locker,1185732,04/15/2020,Northeast,Texas,Houston,Men's Athletics,40,890,34525.17,Outlet
Foot Locker,1185732,04/16/2020,Northeast,Texas,Houston,Women's Apparel,60,1157,70609.76,Outlet
Foot Locker,1185732,04/17/2020,Northeast,New York,New York,Men's Street Footwear,45,968,46042.22,Outlet
Foot Locker,1185732,04/18/2020,Northeast,Illinois,Chicago,Men's Street Footwear,45,1209,56628.57,In-store
Foot Locker,1185732,04/19/2020,Northeast,Illinois,Chicago,Women's Street Footwear,40,1054,42826.5,Online
Foot Locker,1185732,04/20/2020,Northeast,Texas,Houston,Women's Apparel,40,1281,52146.14,In-store
Foot Locker,1185732,04/21/2020,Northeast,New York,New York,Men's Athletics,45,937,42332.04,Online
Foot Locker,1185732,04/22/2020,Northeast,Texas,Houston,Men's Apparel,45,1171,54505.3,Online
Foot Locker,1185732,04/23/2020,Northeast,New York,New York,Women's Athletics,55,942,53048.58,Outlet
Foot Locker,1185732,04/24/2020,Northeast,Texas,Houston,Men's Apparel,60,1075,69350.45,Outlet
Foot Locker,1185732,04/25/2020,Northeast,New York,New York,Women's Street Footwear,40,805,33419.94,Online
Foot Locker,1185732,04/26/2020,Northeast,New York,New York,Women's Apparel,60,1157,65082.84,Online
Foot Locker,1185732,04/27/2020,Northeast,New York,New York,Men's Athletics,45,862,42229.22,Online
Foot Locker,1185732,04/28/2020,Northeast,Illinois,Chicago,Men's Apparel,55,1003,54819.67,Outlet
Foot Locker,1185732,04/29/2020,Northeast,Illinois,Chicago,Men's Apparel,60,1190,69825.08,Outlet
Foot Locker,1185732,04/30/2020,Northeast,Texas,Houston,Men's Apparel,60,1179,64667.87,In-store
Foot Locker,1185732,05/01/2020,Northeast,New York,New York,Men's Apparel,40,1276,50696.45,Online
Foot Locker,1185732,05/02/2020,Northeast,Texas,Houston,Women's Athletics,45,989,48137.48,In-store
Foot Locker,1185732,05/03/2020,Northeast,Illinois,Chicago,Women's Apparel,50,1061,50149.22,In-store
Foot Locker,1185732,05/04/2020,Northeast,California,Los Angeles,Men's Apparel,60,1193,74318.49,Online
Foot Locker,1185732,05/05/2020,Northeast,New York,New York,Men's Street Footwear,45,1143,54436.81,Online
Foot Locker,1185732,05/06/2020,Northeast,Illinois,Chicago,Men's Street Footwear,50,1225,64176.33,Online
Foot Locker,1185732,05/07/2020,Northeast,Illinois,Chicago,Women's Street Footwear,40,1174,45925.01,Online
Foot Locker,1185732,05/08/2020,Northeast,Illinois,Chicago,Women's Athletics,50,858,44468.52,Outlet
Foot Locker,1185732,05/09/2020,Northeast,California,Los Angeles,Men's Athletics,55,975,56752.02,Outlet
Foot Locker,1185732,05/10/2020,Northeast,Texas,Houston,Women's Street Footwear,40,920,38176.33,In-store
Foot Locker,1185732,05/11/2020,Northeast,Illinois,Chicago,Men's Athletics,55,1200,63534.68,Outlet
Foot Locker,1185732,05/12/2020,Northeast,Illinois,Chicago,Men's Street Footwear,40,1201,48694.89,Online
Foot Locker,1185732,05/13/2020,Northeast,California,Los Angeles,Women's Street Footwear,40,1062,41297.34,Online
Foot Locker,1185732,05/14/2020,Northeast,Texas,Houston,Women's Athletics,40,830,30340.11,In-store
Foot Locker,1185732,05/15/2020,Northeast,New York,New York,Women's Apparel,45,1153,48896.84,In-store
Foot Locker,1185732,05/16/2020,Northeast,California,Los Angeles,Men's Apparel,45,1015,44726.7,Outlet
Foot Locker,1185732,05/17/2020,Northeast,Illinois,Chicago,Men's Athletics,60,1198,66304.07,In-store
Foot Locker,1185732,05/18/2020,Northeast,California,Los Angeles,Women's Apparel,40,1008,41190.03,In-store
Foot Locker,1185732,05/19/2020,Northeast,New York,New York,Men's Street Footwear,40,1186,48090.34,Outlet
Foot Locker,1185732,05/20/2020,Northeast,New York,New York,Women's Apparel,50,807,36791.3,Online
Foot Locker,1185732,05/21/2020,Northeast,Texas,Houston,Women's Street Footwear,60,1166,67699.8,In-store
Foot Locker,1185732,05/22/2020,Northeast,California,Los Angeles,Women's Apparel,50,1259,62066.48,Online
Foot Locker,1185732,05/23/2020,Northeast,Illinois,Chicago,Men's Athletics,60,1232,68111.21,Online
Foot Locker,1185732,05/24/2020,Northeast,California,Los Angeles,Men's Athletics,55,1156,60919.32,Online
Foot Locker,1185732,05/25/2020,Northeast,Texas,Houston,Men's Athletics,50,1223,57592.38,Online
Foot Locker,1185732,05/26/2020,Northeast,California,Los Angeles,Men's Athletics,40,863,34312.64,Outlet
Foot Locker,1185732,05/27/2020,Northeast,California,Los Angeles,Women's Apparel,55,1076,56865.55,Outlet
Foot Locker,1185732,05/28/2020,Northeast,New York,New York,Men's Athletics,45,1021,42561.67,In-store
Foot Locker,1185732,05/29/2020,Northeast,New York,New York,Women's Apparel,55,1012,60063.89,In-store
Foot Locker,1185732,05/30/2020,Northeast,California,Los Angeles,Women's Apparel,40,1203,50048.63,In-store
Foot Locker,1185732,05/31/2020,Northeast,New York,New York,Men's Apparel,50,965,44601.79,Online
Foot Locker,1185732,06/01/2020,Northeast,California,Los Angeles,Women's Apparel,45,1145,49210.66,In-store
Foot Locker,1185732,06/02/2020,Northeast,New York,New York,Men's Street Footwear,45,1004,46214.78,Online
Foot Locker,1185732,06/03/2020,Northeast,California,Los Angeles,Men's Athletics,50,1137,57491.58,In-store
Foot Locker,1185732,06/04/2020,Northeast,California,Los Angeles,Men's Athletics,55,855,49196.72,In-store
Foot Locker,1185732,06/05/2020,Northeast,New York,New York,Women's Street Footwear,50,960,51162.44,In-store
Foot Locker,1185732,06/06/2020,Northeast,Texas,Houston,Women's Apparel,40,810,32986.31,In-store
Foot Locker,1185732,06/07/2020,Northeast,New York,New York,Women's Apparel,55,1131,57016.9,Outlet
Foot Locker,1185732,06/08/2020,Northeast,New York,New York,Men's Apparel,60,1004,56567.42,In-store
Foot Locker,1185732,06/09/2020,Northeast,Texas,Houston,Women's Street Footwear,55,1140,59412.29,In-store
Foot Locker,1185732,06/10/2020,Northeast,Texas,Houston,Men's Athletics,45,883,38624.8,In-store
Foot Locker,1185732,06/11/2020,Northeast,Texas,Houston,Men's Street Footwear,55,1059,58527.38,Outlet
Foot Locker,1185732,06/12/2020,Northeast,Illinois,Chicago,Women's Apparel,60,1089,61323.44,Online
Foot Locker,1185732,06/13/2020,Northeast,Texas,Houston,Men's Athletics,45,1253,51331.59,In-store
Foot Locker,1185732,06/14/2020,Northeast,California,Los Angeles,Women's Apparel,45,1293,59589.55,Outlet
Foot Locker,1185732,06/15/2020,Northeast,California,Los Angeles,Women's Athletics,50,1210,62049.31,Online
Foot Locker,1185732,06/16/2020,Northeast,California,Los Angeles,Women's Athletics,55,1045,56036.45,Outlet
Foot Locker,1185732,06/17/2020,Northeast,California,Los Angeles,Women's Street Footwear,40,1192,51298.14,In-store
Foot Locker,1185732,06/18/2020,Northeast,New York,New York,Men's Street Footwear,55,1119,65507.05,Online
Foot Locker,1185732,06/19/2020,Northeast,Texas,Houston,Men's Athletics,50,1191,54607.89,Outlet
Foot Locker,1185732,06/20/2020,Northeast,Illinois,Chicago,Women's Athletics,55,1166,68611.24,Online
Foot Locker,1185732,06/21/2020,Northeast,New York,New York,Men's Athletics,50,955,43471.53,In-store
Foot Locker,1185732,06/22/2020,Northeast,New York,New York,Women's Athletics,45,1033,47752.26,In-store
Foot Locker,1185732,06/23/2020,Northeast,New York,New York,Women's Apparel,45,1299,60704.37,In-store
Foot Locker,1185732,06/24/2020,Northeast,Illinois,Chicago,Women's Street Footwear,40,1208,44374.76,Outlet
Foot Locker,1185732,06/25/2020,Northeast,Texas,Houston,Men's Street Footwear,50,902,48694.12,Online
Foot Locker,1185732,06/26/2020,Northeast,Texas,Houston,Men's Street Footwear,60,1220,77625.73,In-store
Foot Locker,1185732,06/27/2020,Northeast,Texas,Houston,Men's Street Footwear,40,1221,50212.13,Outlet
Foot Locker,1185732,06/28/2020,Northeast,Illinois,Chicago,Women's Apparel,50,900,41961.63,Online
Foot Locker,1185732,06/29/2020,Northeast,Texas,Houston,Men's Athletics,50,952,44939.33,In-store
Foot Locker,1185732,06/30/2020,Northeast,New York,New York,Men's Athletics,60,818,50471.01,Online
Foot Locker,1185732,07/01/2020,Northeast,Texas,Houston,Women's Street Footwear,50,1267,58132.36,In-store
Foot Locker,1185732,07/02/2020,Northeast,New York,New York,Men's Apparel,50,853,44742.42,Outlet
Foot Locker,1185732,07/03/2020,Northeast,New York,New York,Men's Apparel,50,1270,58271.71,Outlet
Foot Locker,1185732,07/04/2020,Northeast,New York,New York,Men's Apparel,60,806,47443.3,Outlet
Foot Locker,1185732,07/05/2020,Northeast,New York,New York,Women's Street Footwear,40,1037,38532.59,In-store
Foot Locker,1185732,07/06/2020,Northeast,New York,New York,Men's Apparel,60,1003,60703.5,In-store
Foot Locker,1185732,07/07/2020,Northeast,New York,New York,Women's Apparel,40,1096,41780.3,Outlet
Foot Locker,1185732,07/08/2020,Northeast,New York,New York,Women's Apparel,55,843,44488.01,Outlet
Foot Locker,1185732,07/09/2020,Northeast,Illinois,Chicago,Men's Apparel,40,997,43012.48,Online
Foot Locker,1185732,07/10/2020,Northeast,Illinois,Chicago,Men's Street Footwear,40,1185,46033.52,Outlet
Foot Locker,1185732,07/11/2020,Northeast,Texas,Houston,Men's Apparel,40,980,40206.89,In-store
Foot Locker,1185732,07/12/2020,Northeast,California,Los Angeles,Men's Street Footwear,45,1053,45546.3,Outlet
Foot Locker,1185732,07/13/2020,Northeast,California,Los Angeles,Women's Athletics,45,1006,42251.15,Online
Foot Locker,1185732,07/14/2020,Northeast,California,Los Angeles,Men's Apparel,40,946,38696.52,In-store
Foot Locker,1185732,07/15/2020,Northeast,Illinois,Chicago,Men's Apparel,60,996,60449.38,Online
Foot Locker,1185732,07/16/2020,Northeast,Texas,Houston,Women's Street Footwear,50,1083,49380.91,Outlet
Foot Locker,1185732,07/17/2020,Northeast,Illinois,Chicago,Men's Athletics,40,1155,41664.82,Outlet
Foot Locker,1185732,07/18/2020,Northeast,California,Los Angeles,Women's Apparel,55,1154,66159.72,Outlet
Foot Locker,1185732,07/19/2020,Northeast,Illinois,Chicago,Men's Apparel,55,911,53101.5,Online
Foot Locker,1185732,07/20/2020,Northeast,California,Los Angeles,Men's Athletics,60,1094,71229.17,Outlet
Foot Locker,1185732,07/21/2020,Northeast,Texas,Houston,Women's Athletics,60,1198,72782.03,Online
Foot Locker,1185732,07/22/2020,Northeast,Illinois,Chicago,Men's Athletics,50,1056,54929.45,In-store
Foot Locker,1185732,07/23/2020,Northeast,Illinois,Chicago,Women's Athletics,40,1206,52110.08,Outlet
Foot Locker,1185732,07/24/2020,Northeast,Illinois,Chicago,Men's Street Footwear,55,1009,52904.57,Outlet
Foot Locker,1185732,07/25/2020,Northeast,California,Los Angeles,Women's Street Footwear,45,1139,51443.9,Online
Foot Locker,1185732,07/26/2020,Northeast,Texas,Houston,Men's Apparel,55,1233,62424.01,Online
Foot Locker,1185732,07/27/2020,Northeast,New York,New York,Men's Athletics,50,1004,50191.42,Outlet
Foot Locker,1185732,07/28/2020,Northeast,Texas,Houston,Women's Athletics,60,845,51643.91,Online
Foot Locker,1185732,07/29/2020,Northeast,New York,New York,Women's Street Footwear,45,1033,45894.1,Outlet
Foot Locker,1185732,07/30/2020,Northeast,Texas,Houston,Men's Athletics,50,920,46072.23,In-store
Foot Locker,1185732,07/31/2020,Northeast,New York,New York,Women's Apparel,55,1225,72478.09,Online
Foot Locker,1185732,08/01/2020,Northeast,California,Los Angeles,Men's Street Footwear,50,1173,58588.86,Online
Foot Locker,1185732,08/02/2020,Northeast,Illinois,Chicago,Women's Athletics,60,923,52249.45,Outlet
Foot Locker,1185732,08/03/2020,Northeast,Illinois,Chicago,Women's Apparel,55,1255,69470.2,Outlet
Foot Locker,1185732,08/04/2020,Northeast,New York,New York,Men's Apparel,45,1069,49323.52,Outlet
Foot Locker,1185732,08/05/2020,Northeast,Illinois,Chicago,Men's Apparel,40,942,37908.65,In-store
Foot Locker,1185732,08/06/2020,Northeast,Illinois,Chicago,Women's Apparel,60,1118,63447.65,Online
Foot Locker,1185732,08/07/2020,Northeast,Texas,Houston,Women's Apparel,40,1110,48304.33,In-store
Foot Locker,1185732,08/08/2020,Northeast,Texas,Houston,Women's Athletics,55,1259,64426.49,In-store
Foot Locker,1185732,08/09/2020,Northeast,New York,New York,Men's Athletics,60,837,47120.76,Outlet
Foot Locker,1185732,08/10/2020,Northeast,Texas,Houston,Women's Street Footwear,50,1056,49821.71,Online
Foot Locker,1185732,08/11/2020,Northeast,California,Los Angeles,Men's Street Footwear,45,923,43163.8,Outlet
Foot Locker,1185732,08/12/2020,Northeast,New York,New York,Men's Athletics,55,1203,65999.09,Online
Foot Locker,1185732,08/13/2020,Northeast,Illinois,Chicago,Men's Athletics,55,811,44793.57,Online
Foot Locker,1185732,08/14/2020,Northeast,California,Los Angeles,Men's Athletics,45,806,37836.97,Outlet
Foot Locker,1185732,08/15/2020,Northeast,New York,New York,Women's Street Footwear,55,1083,65174.87,Outlet
Foot Locker,1185732,08/16/2020,Northeast,Illinois,Chicago,Women's Athletics,50,1261,56876.34,Outlet
Foot Locker,1185732,08/17/2020,Northeast,Texas,Houston,Men's Street Footwear,40,1265,45591.66,Online
Foot Locker,1185732,08/18/2020,Northeast,California,Los Angeles,Men's Athletics,50,1191,63852.05,Outlet
Foot Locker,1185732,08/19/2020,Northeast,California,Los Angeles,Women's Street Footwear,40,1244,54512.17,Online
Foot Locker,1185732,08/20/2020,Northeast,Illinois,Chicago,Women's Athletics,50,1290,66393.61,Online
Foot Locker,1185732,08/21/2020,Northeast,California,Los Angeles,Women's Street Footwear,40,977,35820.34,Online
Foot Locker,1185732,08/22/2020,Northeast,Illinois,Chicago,Men's Apparel,60,902,51158.42,Outlet
Foot Locker,1185732,08/23/2020,Northeast,Texas,Houston,Men's Street Footwear,60,835,45847.99,In-store
Foot Locker,1185732,08/24/2020,Northeast,California,Los Angeles,Women's Apparel,40,844,30880.99,Online
Foot Locker,1185732,08/25/2020,Northeast,New York,New York,Women's Street Footwear,55,1268,66795.05,In-store
Foot Locker,1185732,08/26/2020,Northeast,Texas,Houston,Men's Apparel,45,1051,43058.34,Online
Foot Locker,1185732,08/27/2020,Northeast,New York,New York,Women's Athletics,45,913,42359.48,In-store
Foot Locker,1185732,08/28/2020,Northeast,California,Los Angeles,Men's Street Footwear,45,887,38766.04,In-store
Foot Locker,1185732,08/29/2020,Northeast,New York,New York,Men's Apparel,60,931,58001.48,In-store
Foot Locker,1185732,08/30/2020,Northeast,New York,New York,Women's Athletics,50,944,49792.57,Outlet
Foot Locker,1185732,08/31/2020,Northeast,California,Los Angeles,Women's Athletics,60,882,56859.35,Online
Foot Locker,1185732,09/01/2020,Northeast,New York,New York,Women's Street Footwear,55,817,43714.75,In-store
Foot Locker,1185732,09/02/2020,Northeast,New York,New York,Men's Athletics,40,1045,45534.12,Online
Foot Locker,1185732,09/03/2020,Northeast,New York,New York,Men's Athletics,60,905,49537.22,In-store
Foot Locker,1185732,09/04/2020,Northeast,New York,New York,Men's Athletics,40,1036,45199.5,Outlet
Foot Locker,1185732,09/05/2020,Northeast,New York,New York,Women's Apparel,60,807,44225.47,Online
Foot Locker,1185732,09/06/2020,Northeast,Illinois,Chicago,Men's Athletics,45,905,39104.15,In-store
Foot Locker,1185732,09/07/2020,Northeast,Illinois,Chicago,Women's Street Footwear,50,1159,54737.74,Online
Foot Locker,1185732,09/08/2020,Northeast,Texas,Houston,Women's Athletics,45,1064,43460.27,Online
Foot Locker,1185732,09/09/2020,Northeast,California,Los Angeles,Women's Apparel,60,880,57678.37,Outlet
Foot Locker,1185732,09/10/2020,Northeast,Texas,Houston,Women's Apparel,45,1208,51612.32,Online
Foot Locker,1185732,09/11/2020,Northeast,New York,New York,Men's Athletics,40,1198,48493.76,Outlet
Foot Locker,1185732,09/12/2020,Northeast,Illinois,Chicago,Women's Apparel,50,1285,65369.14,Outlet
Foot Locker,1185732,09/13/2020,Northeast,New York,New York,Women's Athletics,50,1235,61023.48,Online
Foot Locker,1185732,09/14/2020,Northeast,Texas,Houston,Women's Street Footwear,40,922,33699.96,Online
Foot Locker,1185732,09/15/2020,Northeast,Texas,Houston,Men's Athletics,55,1244,66253.11,In-store
Foot Locker,1185732,09/16/2020,Northeast,Illinois,Chicago,Men's Apparel,55,823,45095.71,In-store
